t,ue,rate_bps
3.1,18,3.83763e+07
3.1,19,4.25352e+07
3.1,20,162040
3.1,21,1.2178e+08
3.1,22,6.81149e+06
3.1,23,1.16728e+08
3.1,24,1.06627e+08
3.1,25,5.94144e+07
3.1,26,6.4013e+06
3.1,27,334686
3.1,28,6.23313e+07
3.1,29,1.18224e+06
3.2,0,1.27638e+06
3.2,1,6.7526e+06
3.2,2,1.00747e+07
3.2,3,9.82821e+06
3.2,4,2.58485e+06
3.2,5,3.30162e+06
3.2,6,1.14575e+07
3.2,7,7.69612e+06
3.2,8,1.4366e+08
3.2,9,719764
3.2,10,208834
3.2,11,2.85371e+06
3.2,12,3.31091e+07
3.2,13,2.16461e+07
3.2,14,1.79099e+07
3.2,15,1.8061e+07
3.2,16,1.51934e+08
3.2,17,1.20573e+06
3.2,18,7.5063e+07
3.2,19,7.19686e+07
3.2,20,1.75465e+07
3.2,21,3.33866e+07
3.2,22,80791.9
3.2,23,5.70687e+07
3.2,24,8.03509e+07
3.2,25,2.55985e+07
3.2,26,6.63657e+07
3.2,27,1.83662e+06
3.2,28,3.47538e+07
3.2,29,4.78544e+07
3.3,0,359494
3.3,1,2.86306e+06
3.3,2,2.83047e+07
3.3,3,1.62597e+08
3.3,4,1.40727e+07
3.3,5,6.67856e+07
3.3,6,1.30595e+06
3.3,7,5.08633e+07
3.3,8,2.02676e+08
3.3,9,5.72807e+06
3.3,10,2.27593e+06
3.3,11,3.19277e+06
3.3,12,3.86225e+07
3.3,13,1.13702e+07
3.3,14,5.56363e+07
3.3,15,2.00405e+07
3.3,16,8.17177e+07
3.3,17,1.56346e+06
3.3,18,6.85009e+07
3.3,19,1.5598e+07
3.3,20,796181
3.3,21,4.55745e+07
3.3,22,3.4813e+07
3.3,23,2.87919e+07
3.3,24,5.30081e+07
3.3,25,5.74717e+07
3.3,26,981773
3.3,27,838305
3.3,28,3.78105e+07
3.3,29,1.77658e+06
3.4,0,2.32558e+06
3.4,1,1.40912e+06
3.4,2,791165
3.4,3,772324
3.4,4,34760.5
3.4,5,5.55583e+07
3.4,6,3.28889e+06
3.4,7,99694.8
3.4,8,1.44741e+08
3.4,9,1.41307e+07
3.4,10,597544
3.4,11,3.82327e+06
3.4,12,7.23623e+06
3.4,13,7.11615e+07
3.4,14,2.03876e+06
3.4,15,381093
3.4,16,9.80395e+07
3.4,17,1.55161e+06
3.4,18,234261
3.4,19,320447
3.4,20,1.36188e+07
3.4,21,1.61063e+07
3.4,22,1.1362e+08
3.4,23,5.2845e+07
3.4,24,4.9515e+07
3.4,25,277234
3.4,26,1.9303e+07
3.4,27,1.86102e+07
3.4,28,1.09598e+08
3.4,29,1.41828e+07
3.5,0,685375
3.5,1,3.52496e+06
3.5,2,1.38142e+07
3.5,3,2.96201e+06
3.5,4,7.15718e+07
3.5,5,3.40459e+06
3.5,6,170419
3.5,7,1.91127e+07
3.5,8,1.3483e+07
3.5,9,209555
3.5,10,52323.8
3.5,11,1.14899e+06
3.5,12,102528
3.5,13,1.63821e+07
3.5,14,3.12971e+07
3.5,15,3.85603e+06
3.5,16,1.67495e+07
3.5,17,2.08525e+06
3.5,18,206068
3.5,19,3.43317e+07
3.5,20,743963
3.5,21,3.58303e+06
3.5,22,5.26947e+07
3.5,23,9.69734e+07
3.5,24,1.54209e+08
3.5,25,1.38945e+06
3.5,26,4.57688e+06
3.5,27,7.10741e+06
3.5,28,1.97297e+06
3.5,29,7.08419e+07
3.6,0,1.82556e+07
3.6,1,611941
3.6,2,2.21195e+07
3.6,3,4.11926e+06
3.6,4,2.23661e+07
3.6,5,1.15052e+07
3.6,6,5.43734e+06
3.6,7,2.4581e+06
3.6,8,1.07156e+08
3.6,9,1.79335e+07
3.6,10,83426.8
3.6,11,7.28855e+06
3.6,12,1.24065e+07
3.6,13,1.26524e+08
3.6,14,9.96757e+06
3.6,15,4.34268e+07
3.6,16,1.0264e+08
3.6,17,1.4191e+07
3.6,18,2.88967e+06
3.6,19,4.36454e+07
3.6,20,395193
3.6,21,1.50287e+07
3.6,22,2.42223e+07
3.6,23,5.91382e+07
3.6,24,5.05719e+07
3.6,25,2.77049e+06
3.6,26,81543.8
3.6,27,9.88535e+06
3.6,28,2.80553e+07
